Opened	Name	City	Market
9/19/2009	Aspen Landing	Calgary	Alberta\Calgary
8/26/2009	Fairplex & I-10, Pomona	Pomona	California\SanGabrielValley
8/17/2009	29th & Park	New York	NewYork\NewYorkCity
8/17/2009	47th & 5th	New York	NewYork\NewYorkCity
7/4/2009	Hotel Arts	Calgary	Alberta\Calgary
6/25/2009	Panorama Village -Hwy 10 & 152	Surrey	BritishColumbia\Vancouver
6/24/2009	Fort Lee, Route 4 E	Fort Lee	NewJersey\NorthJersey
6/12/2009	Division & Wellesley	Spokane	Washington\Spokane
6/1/2009	5954 Hwy 7	Markham	Ontario\GreaterTorontoArea
5/29/2009	32 Foulis Row	Dartmouth	NovaScotia
5/14/2009	Hwy 97 & Riverside Dr - Pentic	Penticton	BritishColumbia\EasternBritishColumbia
5/8/2009	Southcentre	Calgary	Alberta\Calgary
5/6/2009	Dickson Crossing	Airdrie	Alberta\Calgary
4/10/2009	Garden Valley & Goetz - Rosebu	Roseburg	Oregon\SouthernOregon
4/7/2009	Wolf Ranch Town Center	Georgetown	Texas\AustinSuburbs
4/4/2009	254-21 Horace Harding Expressw	Little Neck	NewYork\Queens
4/3/2009	US 60 & I-64	Frankfort	Kentucky\Lexington
4/3/2009	Harbour View	Suffolk	Virginia\ChesapeakeBayRegion
3/27/2009	Vernon Hills-Rte 45 & 21	Vernon Hills	Illinois\Lake
3/23/2009	6 Clappison Ave, Unit 1	Waterdown	Ontario\GreaterTorontoArea
3/21/2009	US 41 & Manatee Ave	Bradenton	Florida\SarasotaBradenton
3/20/2009	Stone Creek Plaza	Los Banos	California\CentralValley
3/19/2009	Times Square - Robson & Denman	Vancouver	BritishColumbia\Vancouver
3/18/2009	Dufferin & Major Mackenzie	Vaughan	Ontario\GreaterTorontoArea
3/12/2009	537 Hespeler Rd	Cambridge	Ontario\GreaterTorontoArea
3/11/2009	Hawthorne Blvd & 149th St, Law	Lawndale	California\LosAngelesCountySouthBay
3/5/2009	McLeod Park	Edmonton	Alberta\Edmonton
3/3/2009	US 183 & Crystal Falls Pkwy	Leander	Texas\AustinSuburbs
2/28/2009	Church Street & Murray	New York	NewYork\NewYorkCity
2/12/2009	111 St & Ellerslie Rd	Edmonton	Alberta\Edmonton
2/6/2009	Van Buren & King, Riverside	Riverside	California\RiversideCounty
2/6/2009	Paradise & Sahara, Las Vegas	Las Vegas	Nevada\LasVegas
2/6/2009	Jefferson & Lincoln	Napa	California\NapaCounty
2/5/2009	Paterson-Hamburg Tpke - Wayne	Wayne	NewJersey\NorthJersey
2/5/2009	Oakland	Oakland	NewJersey\NorthJersey
1/28/2009	I-35 & SW Military	San Antonio	Texas\SanAntonio
1/21/2009	Big Bend & US 301	Riverview	Florida\Tampa
1/19/2009	El Camino Real & Poplar	Sunnyvale	California\SantaClaraCounty
1/16/2009	Monroe Dr & 8th St	Atlanta	Georgia\Atlanta
1/16/2009	Hunt & Gary, Queen Creek	Queen Creek	Arizona\Phoenix
1/15/2009	Red Lion & Roosevelt	Philadelphia	Pennsylvania\Philadelphia
1/8/2009	Valleyview SC - Kamloops	Kamloops	BritishColumbia\EasternBritishColumbia
1/7/2009	19th & Park	New York	NewYork\NewYorkCity
1/6/2009	S Fort Hood & Hwy 190	Killeen	Texas\RemoteMarkets
12/29/2008	Parker & Lincoln - Parker	Parker	Colorado\Denver
12/22/2008	Kings Hwy & I-75	Port Charolette	Florida\Naples
12/19/2008	SR 71 & US 290	Austin	Texas\Austin
12/19/2008	Lake Worth Rd & Jog Rd	Greenacres	Florida\PalmBeachCounty
12/12/2008	Mission Gorge & Carlton Hills	Santee	California\SanDiego
12/12/2008	Rand Rd & Rt 22	Lake Zurich	Illinois\Lake
12/12/2008	Bermuda Square	Chester	Virginia\Richmond
12/12/2008	Cook Rd & I-5	Burlington	Washington\Bellingham
12/12/2008	8000 Sunset Plaza	Los Angeles	California\LosAngeles
12/12/2008	Lancaster & Silverton - Salem	Salem	Oregon\WestCentralOregon
12/11/2008	Bellerose Drive	St. Albert	Alberta\Edmonton
12/11/2008	Grant & Academy	Philadelphia	Pennsylvania\Philadelphia
12/10/2008	Wurzbach Rd & Gardendale St	San Antonio	Texas\SanAntonio
12/9/2008	La Plata Shopping Center	La Plata	Maryland\EasternMaryland
12/5/2008	Euclid & Salt Creek Ln	Arlington Heights	Illinois\Cook
12/4/2008	Metral Station - Nanaimo	Nanaimo	BritishColumbia\VancouverIsland
12/4/2008	72nd & Sheridan- Westminster	Westminster	Colorado\Denver
12/4/2008	575 Laval Drive	Oshawa	Ontario\GreaterTorontoArea
12/3/2008	Olympic & Figueroa (LA LIVE)	Los Angeles	California\LosAngeles
12/3/2008	Hwy 3 & Clear Lake City	Webster	Texas\HoustonSuburbs
11/29/2008	Okeechobee Blvd & I-95	West Palm Beach	Florida\PalmBeachCounty
11/28/2008	2963 Argentia Rd	Mississauga	Ontario\PeelRegion
11/27/2008	Place Vertu	St Laurent	Quebec\Montreal
11/26/2008	Lyons Rd & Wiles Rd	Coconut Creek	Florida\BrowardCounty
11/25/2008	7th Street & Bell, Phoenix	Phoenix	Arizona\Phoenix
11/20/2008	University Village - Nanaimo	Nanaimo	BritishColumbia\VancouverIsland
11/20/2008	Tuxedo Park	Winnipeg	Manitoba
11/20/2008	58th & Sixth	New York	NewYork\NewYorkCity
11/18/2008	690 Eagleson Road	Ottawa	Ontario\Ottawa
11/17/2008	US Hwy 27 & Cagan Crossings Bl	Clermont	Florida\Orlando
11/15/2008	SW 120th St & SW 137th Ave	Miami	Florida\Miami
11/14/2008	Weedpatch Hwy & Hwy 58	Bakersfield	California\KernCounty
11/14/2008	Brighton - W Grand River	Brighton	Michigan\MichiganRemoteMarkets
11/14/2008	404 & Major Mackenzie	Markham	Ontario\GreaterTorontoArea
11/14/2008	I 45 & 646	League City	Texas\HoustonSuburbs
11/14/2008	Hwy 62 & Delta Waters - Medfor	Medford	Oregon\SouthernOregon
11/13/2008	McMurray, Valley Brook Rd	McMurray	Pennsylvania\PittsburghSuburbs
11/13/2008	Westney and Kingston	Ajax	Ontario\GreaterTorontoArea
11/12/2008	Grandview Hwy & Natal Street	Vancouver	BritishColumbia\Vancouver
11/7/2008	US 52 & SR 38	Lafayette	Indiana\IndianaRemoteMarkets
11/7/2008	2nd Street & Highland Springs	Beaumont	California\RiversideCounty
11/7/2008	Greenfield & McKellips, Mesa	Mesa	Arizona\Phoenix
11/7/2008	Eagle & Franklin - Meridian	Meridian	Idaho\Boise
11/7/2008	Kennedy Blvd & S Dakota Ave	Tampa	Florida\Tampa
11/7/2008	Fairview & Cole - Boise	Boise	Idaho\Boise
11/6/2008	Selinsgrove	Selinsgrove	Pennsylvania\PennsylvaniaRemoteMarkets
11/6/2008	Bidwell & Hwy 50	Folsom	California\Sacramento
11/6/2008	Circle Dr & 8th Street E Indig	Saskatoon	Saskatchewan
11/5/2008	16th & Pacific, Yuma	Yuma	Arizona\Yuma
11/3/2008	Manatee Ave & 59th St	Bradenton	Florida\SarasotaBradenton
10/25/2008	Lynn Haven Pkwy & E 25th St	Lynn Haven	Florida\Panhandle
10/24/2008	Montana and Geronimo	El Paso	Texas\ElPaso
10/24/2008	4780 S. Maryland Pkwy., Las Ve	Las Vegas	Nevada\LasVegas
10/22/2008	Atascocita & Will Clayton	Houston	Texas\Houston
10/21/2008	I-45 & Cypresswood	SPRING	Texas\HoustonSuburbs
10/18/2008	Pineridge & Livingston	Naples	Florida\Naples
10/17/2008	San Mateo and Haines	Albuquerque	NewMexico\Albuquerque
10/17/2008	Canyon Crossing- Frederickson	Frederickson	Washington\Tacoma
10/17/2008	96th & Meridian	Indianapolis	Indiana\Indianapolis
10/17/2008	La Cienega & Jefferson	Los Angeles	California\LosAngeles
10/13/2008	67th Ave. & Peoria, Glendale	Glendale	Arizona\Phoenix
10/10/2008	Sherman Way & Whitsett	North Hollywood	California\LosAngelesCounty
10/10/2008	US 31 & Alto	Kokomo	Indiana\IndianaRemoteMarkets
10/10/2008	Tower Lane Mall	Airdrie	Alberta\Calgary
10/10/2008	Rte 83 & Hook Dr - Round Lake	Round Lake Beach	Illinois\Lake
10/10/2008	Church St & Vann St	Marietta	Georgia\AtlantaSuburbs
10/10/2008	1700 W Nursery Rd.	Linthicum Heights	Maryland\Baltimore
10/10/2008	32nd St. & Thomas, Phoenix	Phoenix	Arizona\Phoenix
10/10/2008	I-80 & Oliver - Fairfield	Fairfield	California\SolanoCounty
10/7/2008	FM 1825 & Central Commerce	Pflugerville	Texas\AustinSuburbs
10/6/2008	Hopewell VA	Hopewell	Virginia\Richmond
10/3/2008	Wayne Memorial Dr & Hwy 70	Goldsboro	NorthCarolina\NorthCarolinaRemoteMarkets
10/3/2008	Cuyahoga Falls, Graham & Hudso	Cuyahoga Falls	Ohio\Akron
10/3/2008	Lenoir Rhyne Blvd & I-40	Hickory	NorthCarolina\NorthCarolinaRemoteMarkets
10/2/2008	South Greenbay & Timber	Racine	Wisconsin\WisconsinRemoteMarkets
10/2/2008	1151 Division Street	Kingston	Ontario\KingstonBelleville
9/30/2008	San Pedro & Cypress	San Antonio	Texas\SanAntonio
9/30/2008	SR 71 & E Riverside	Austin	Texas\Austin
9/30/2008	Beltline & 635	Irving	Texas\MidCities
9/30/2008	1604 & Culebra Road	San Antonio	Texas\SanAntonio
9/30/2008	Hwy 377 & Watauga	Haltom City	Texas\MidCities
9/29/2008	Nassau & Fulton	New York	NewYork\NewYorkCity
9/29/2008	Oracle & Rudasill-Tucson, AZ	Tucson	Arizona\Tucson
9/29/2008	Vista Chino & Landau	Cathedral City	California\PalmSprings
9/29/2008	51 James Snow Parkway	Milton	Ontario\GreaterTorontoArea
9/29/2008	30th St & Bickford Ave	Snohomish	Washington\Seattle
9/29/2008	15810 Pines Blvd	Pembroke Pines	Florida\BrowardCounty
9/29/2008	Liberia Ave.	Manassas	Virginia\NorthernVirginia
9/29/2008	Government Way & Neider	Coeur dAlene	Idaho\NorthernIdaho
9/29/2008	Ellerslie & Parsons	Edmonton	Alberta\Edmonton
9/29/2008	Highway 86 & 66th Avenue, Mecc	Mecca	California\PalmSprings
9/29/2008	Hidden Valley & The 15 Fwy	Norco	California\RiversideCounty
9/26/2008	Topanga Canyon & Dumetz	Woodland Hills	California\LosAngelesCounty
9/26/2008	Strachan Road	Medicine Hat	Alberta\AlbertaRemoteMarkets
9/26/2008	E Franklin St & Eastgate Cross	Chapel Hill	NorthCarolina\RaleighDurhamChapelHill
9/25/2008	McCaslin & Century	Louisville	Colorado\Boulder
9/25/2008	Whitehouse Station	Whitehouse Station	NewJersey\CentralJersey
9/25/2008	Horseshoe Bay	West Vancouver	BritishColumbia\Vancouver
9/22/2008	Portsmouth	Portsmouth	Virginia\ChesapeakeBayRegion
9/20/2008	Little Rd & Ranch Del Rio	New Port Richey	Florida\Tampa
9/18/2008	Upper Darby	Upper Darby	Pennsylvania\PhiladelphiaSuburbs
9/18/2008	20 Innovation Dr	Vaughan	Ontario\GreaterTorontoArea
9/18/2008	Franklin & Hwy 99 - Yuba City	Yuba City	California\NorthernCalifornia
9/12/2008	Woodlawn Square	Marietta	Georgia\AtlantaSuburbs
9/12/2008	Bourbonnais-Main & Latham	Bourbonnais	Illinois\IllinoisRemoteMarkets
9/12/2008	412 Constant Friendship Blvd	Abingdon	Maryland\Baltimore
9/12/2008	Grand & Green Bay Rd. - Waukeg	Waukegan	Illinois\Lake
9/10/2008	Union & Yosemite - Manteca	Manteca	California\ModestoStockton
9/5/2008	Milwaukee & Greggs Pkwy	Vernon Hills	Illinois\Lake
9/5/2008	Suter Brook Village	Port Moody	BritishColumbia\Vancouver
9/5/2008	Clairemont & Balboa, San Diego	San Diego	California\SanDiego
8/30/2008	Hoboken, Washington St.	Hoboken	NewJersey\NorthJersey
8/29/2008	New City	New City	NewYork\WestchesterCounty
8/29/2008	Somersville & Delta Fair	Antioch	California\ContraCostaCounty
8/29/2008	505 McNeely Road	Carleton Place	Ontario\Ottawa
8/29/2008	50 Rideau Centre	Ottawa	Ontario\Ottawa
8/28/2008	Brock and Taunton	Whitby	Ontario\GreaterTorontoArea
8/28/2008	Bayview & Pedersen	Aurora	Ontario\GreaterTorontoArea
8/22/2008	Kendall Dr & SW 162 Ave	Miami	Florida\Miami
8/22/2008	Florin Towne Centre	Sacramento	California\Sacramento
8/19/2008	Highway 16 & 75 Street	Lloydminster	Alberta\AlbertaRemoteMarkets
8/15/2008	Tefft & Mary, Nipomo	Nipomo	California\CentralCoast
8/15/2008	Vineyard & Holt	Ontario	California\SanBernardinoCounty
8/15/2008	Curtner & Monterey	San Jose	California\SantaClaraCounty
8/15/2008	Frank Phillips & US 75	Bartlesville	Oklahoma\OklahomaRemoteMarkets
8/15/2008	Kent Street & Albert Street	Ottawa	Ontario\Ottawa
8/14/2008	Yosemite & Claus - Modesto	Modesto	California\ModestoStockton
8/13/2008	McKinley & Griffin	Corona	California\RiversideCounty
8/11/2008	Wytheville	Wytheville	Virginia\VirginiaRemoteMarkets
8/9/2008	Amb. Caffery Pkwy & Settlers T	Lafayette	Louisiana\Lafayette
8/8/2008	Crenshaw & Washington, Los Ang	Los Angeles	California\LosAngeles
8/8/2008	83rd Ave & Steilacoom Blvd	Lakewood	Washington\Tacoma
8/8/2008	Bethel	Bethel	Connecticut\SouthernConnecticut
8/7/2008	West Broad St & Hagen Dr	Short Pump	Virginia\Richmond
8/7/2008	70 Copper Creek Dr, Bldg H	Markham	Ontario\GreaterTorontoArea
8/4/2008	Garden City-Stewart Ave	Garden City	NewYork\LongIsland
8/2/2008	Eagle Rock & York, Eagle Rock	Los Angeles	California\LosAngeles
8/1/2008	University & Espina, Las Cruce	Las Cruces	NewMexico\LasCruces
8/1/2008	Saugus, Route 1 Northbound	Saugus	Massachusetts\BostonSuburbs
8/1/2008	West Babylon-Montauk Hwy	West Babylon	NewYork\LongIsland
8/1/2008	College St & Yelm Hwy - Lacey	LACEY	Washington\Olympia
8/1/2008	Hageman & Calloway, Bakersfiel	Bakersfield	California\KernCounty
7/31/2008	Roselle & Main	Roselle	Illinois\DuPage
7/31/2008	Sawgrass Rd & Lyons Rd	Coconut Creek	Florida\BrowardCounty
7/31/2008	Downtown Beaver	Beaver	Pennsylvania\PittsburghSuburbs
7/30/2008	Mowry & I880	Fremont	California\AlamedaCounty
7/28/2008	McClellan Hwy & Boardman St.	East Boston	Massachusetts\BostonSuburbs
7/27/2008	Bow Valley Square	Calgary	Alberta\Calgary
7/26/2008	Weston & Major Mackenzie	Vaughan	Ontario\GreaterTorontoArea
7/25/2008	Central & Acacia, Glendale	Glendale	California\SanFernandoValley
7/24/2008	Westgate Plaza	Rochester	NewYork\Rochester
7/18/2008	Nesconset-Smithtown Blvd	Nesconset	NewYork\LongIsland
7/18/2008	100 Trainyards Drive, Unit 14A	Ottawa	Ontario\Ottawa
7/18/2008	Cecil & Hwy 99, Delano	Delano	California\CentralValley
7/18/2008	London Towne Square	Calgary	Alberta\Calgary
7/18/2008	Hwy 410 & 214th - Bonney Lake	Bonney Lake	Washington\Tacoma
7/17/2008	Winchester & Nicholas, Temecul	Temecula	California\RiversideCounty
7/17/2008	1 Hespeler Rd	Cambridge	Ontario\GreaterTorontoArea
7/17/2008	1981 Parkdale Ave. Unit D	Brockville	Ontario\OntarioRemoteMarkets
7/14/2008	Warwick, Airport Rd	WARWICK	RhodeIsland
7/14/2008	Douglas & Maple	El Segundo	California\LosAngelesCountySouthBay
7/11/2008	Parker & Iliff, Aurora	Aurora	Colorado\Denver
7/11/2008	Lake Forest & Dimension	Lake Forest	California\OrangeCounty
7/10/2008	1100 Wilson Street W & Shaver	Ancaster	Ontario\HamiltonRegion
7/8/2008	36th & May	Oklahoma City	Oklahoma\OklahomaCity
7/8/2008	I-285 & Camp Creek Pkwy	East Point	Georgia\AtlantaSuburbs
7/5/2008	Tinley Park-159th & Harlem	Tinley Park	Illinois\Cook
7/3/2008	Parry Sound	Parry Sound	Ontario\OntarioRemoteMarkets
7/3/2008	Avenue I & 20th St West	Lancaster	California\AntelopeValley
7/3/2008	International & Zinfandel - RC	Rancho Cordova	California\Sacramento
7/2/2008	Sixes Rd & Ridge Rd	Canton	Georgia\AtlantaSuburbs
7/2/2008	Wickham Rd & Baymeadows Blvd	Melbourne	Florida\SpaceCoast
7/1/2008	Cranbrook	Cranbrook	BritishColumbia\EasternBritishColumbia
6/27/2008	Riverton Commons I-66	Front Royal	Virginia\VirginiaRemoteMarkets
6/27/2008	MLK Way & Graham - Seattle	Seattle	Washington\Seattle
6/27/2008	Oak Lawn-95th & Oak Park	Oak Lawn	Illinois\Cook
6/27/2008	4th & Diagonal-Seattle	Seattle	Washington\Seattle
6/27/2008	Arundel Preserve	Hanover	Maryland\Baltimore
6/27/2008	Hwy 111 & Jefferson, La Quinta	La Quinta	California\PalmSprings
6/27/2008	Hwy 401 & Purfoy Rd	Fuquay-Varina	NorthCarolina\RaleighDurhamChapelHill
6/27/2008	Denville Plaza	Denville	NewJersey\NorthJersey
6/26/2008	Hwy 381 & Hwy 92	Dallas	Georgia\AtlantaSuburbs
6/21/2008	200 Crandon Blvd	Key Biscayne	Florida\Miami
6/20/2008	Cerrillos & Zafarano, Santa Fe	Santa Fe	NewMexico\SantaFe
6/20/2008	40th & Colorado-Denver	Denver	Colorado\Denver
6/19/2008	Monte Vista & Hwy 99	Turlock	California\ModestoStockton
6/19/2008	North Wales	North Wales	Pennsylvania\PhiladelphiaSuburbs
6/19/2008	Westwood Plateau Village	Coquitlam	BritishColumbia\Vancouver
6/19/2008	Limerick Crossing S.C.	Limerick	Pennsylvania\PennsylvaniaRemoteMarkets
6/18/2008	Lougheed & Holdom	Burnaby	BritishColumbia\Vancouver
6/14/2008	Vanderbilt & Airport	Naples	Florida\Naples
6/14/2008	Hialeah Gardens & W 76 St	Hialeah	Florida\Miami
6/13/2008	Veterans & Massachusetts	Kenner	Louisiana\NewOrleans
6/13/2008	2nd Street & C Street- Washoug	Washougal	Washington\SouthwesternWashington
6/13/2008	Kamp Washington	Fairfax	Virginia\NorthernVirginia
6/6/2008	Rte 12 & Hartigan - Volo	Volo	Illinois\Lake
6/6/2008	US 259 & Hawkins	Longview	Texas\RemoteMarkets
6/6/2008	Adrian - Hwy 23 & Division	Adrian	Michigan\MichiganRemoteMarkets
6/6/2008	1730 W Fullerton - Riverpoint	Chicago	Illinois\Chicago
6/6/2008	132nd & Meridian- Puyallup	Puyallup	Washington\Tacoma
6/6/2008	Bourne, Rt. 6	Bourne	Massachusetts\CapeCod
6/6/2008	Hwy 507 & Creek St SE- Yelm	Yelm	Washington\Tacoma
6/5/2008	Lakewood, NJ	Lakewood	NewJersey\JerseyShore
6/1/2008	Mission Heights	Grande Prairie	Alberta\GrandePrairie
5/30/2008	Pflugerville Pkwy & FM 685	Pflugerville	Texas\AustinSuburbs
5/30/2008	Victory Dr @ Skidaway Rd	Savannah	Georgia\Savannah
5/30/2008	600 South & 200 West, SLC	Salt Lake City	Utah
5/30/2008	Horizon & I-30	Rockwall	Texas\DallasSuburbs
5/30/2008	El Monte Way & Monte Vista, Di	Dinuba	California\CentralValley
5/29/2008	Madison & I-80 DTO	Sacramento	California\Sacramento
5/26/2008	15 Depot Court	Saint John	NewBrunswick
5/24/2008	NW 136th Ave & I-595	Sunrise	Florida\BrowardCounty
5/24/2008	Hwy 98 & Oakhill	Gulf Breeze	Florida\Panhandle
5/23/2008	Martinazzi Square - Tualatin	Tualatin	Oregon\Portland
5/23/2008	Power & Broadway, Mesa	Mesa	Arizona\Phoenix
5/23/2008	Romeoville-Weber & Airport	Romeoville	Illinois\Will
5/23/2008	Central and Tyler	Wichita	Kansas\Wichita
5/23/2008	Albany Shaker Rd and Wolf Rd	Albany	NewYork\Albany
5/23/2008	19th Ave. & Baseline, Phoenix	Phoenix	Arizona\Phoenix
5/23/2008	Kirk & Butterfield	Aurora	Illinois\DuPage
5/23/2008	Industrial & Howard	San Carlos	California\SanMateoCounty
5/22/2008	Yonge & Dundas	Toronto	Ontario\Toronto
5/22/2008	118th & Frederick Douglas Blvd	New York	NewYork\NewYorkCity
5/19/2008	Owens & 16th	San Francisco	California\SanFrancisco
5/19/2008	Kitty Hawk	Kitty Hawk	NorthCarolina\OuterBanks
5/17/2008	Eau Gallie & US 1	Melbourne	Florida\SpaceCoast
5/16/2008	Nine Mile & Pine Forest	Pensacola	Florida\Panhandle
5/16/2008	N. Conway, White Mountain Hwy	North Conway	NewHampshire
5/16/2008	Woodlands Pkwy & FM 2978	The Woodlands	Texas\HoustonSuburbs
5/16/2008	I 45 & Rowlett	Houston	Texas\Houston
5/15/2008	Landstown Commons	Virginia Beach	Virginia\ChesapeakeBayRegion
5/10/2008	US 1 & SW 312th St	Homestead	Florida\Miami
5/9/2008	Pacific Ave- Woodland	Woodland	Washington\SouthwesternWashington
5/9/2008	Wilmington Crossing	Wilmington	Massachusetts\BostonSuburbs
5/9/2008	Azusa & Amar, West Covina	West Covina	California\SanGabrielValley
5/9/2008	136th & Colorado- Thornton	Thornton	Colorado\Denver
5/9/2008	Beach & Garfield	Huntington Beach	California\OrangeCounty
5/9/2008	FM 1764 & Hwy 146	Texas City	Texas\HoustonSuburbs
5/9/2008	Hanover, Washington St	Hanover	Massachusetts\BostonSuburbs
5/8/2008	Charleswood	Winnipeg	Manitoba
5/8/2008	Bethlehem	Bethlehem	Pennsylvania\Allentown
5/8/2008	Bonnyview & Eastside - Redding	Redding	California\NorthernCalifornia
5/8/2008	Dobbs Ferry	Dobbs Ferry	NewYork\WestchesterCounty
5/8/2008	Hampton Market	Edmonton	Alberta\Edmonton
5/8/2008	Ella & 43rd	Houston	Texas\Houston
5/5/2008	Main & Bernal	Salinas	California\CentralCoast
5/2/2008	Powell & Sutter	San Francisco	California\SanFrancisco
5/2/2008	Auburn Way & 15th- Auburn	Auburn	Washington\Tacoma
5/2/2008	Alpine & South Grade, Alpine	Alpine	California\SanDiego
5/2/2008	Lake Pleasant & Happy Valley	Peoria	Arizona\Phoenix
5/2/2008	Hwy 64 & Loop 323	Tyler	Texas\RemoteMarkets
5/1/2008	Franklin, NJ	Franklin	NewJersey\CentralJersey
4/29/2008	Montgomery Hwy & Braddock	Birmingham	Alabama\Birmingham
4/28/2008	SR 535 & Vistana Centre	Orlando	Florida\Orlando
4/25/2008	301 Rehoboth Ave.	Rehoboth Beach	Delaware
4/25/2008	104th & Tower, Commerce City	Commerce City	Colorado\Denver
4/24/2008	Pompton Lakes	Pompton Lakes	NewJersey\NorthJersey
4/24/2008	Bentall 4 - Burrard & Dunsmuir	Vancouver	BritishColumbia\Vancouver
4/19/2008	Biscayne Blvd & 30th	Miami	Florida\Miami
4/19/2008	I-25 & Hwy 52, Frederick	Frederick	Colorado\Denver
4/18/2008	Saratoga & Staples	Corpus Christi	Texas\SouthTexas
4/18/2008	Bay Road & Tittabawassee	Saginaw	Michigan\MichiganRemoteMarkets
4/18/2008	I-405 & NE 44th- Renton	Renton	Washington\Seattle
4/18/2008	FM 1488 & FM 2978	Magnolia	Texas\HoustonSuburbs
4/17/2008	Leslie and Gorham	Newmarket	Ontario\GreaterTorontoArea
4/14/2008	N Kingstown Crossing	N Kingstown	RhodeIsland
4/12/2008	Barnes & Murrell	Rockledge	Florida\SpaceCoast
4/11/2008	North Monroe & Fred George	Tallahassee	Florida\Panhandle
4/11/2008	Hwy 83 & Westgate	Weslaco	Texas\SouthTexas
4/11/2008	Groton, Rte. 1	Groton	Connecticut\EasternConnecticut
4/10/2008	Beltway 8 & Wallisville	Houston	Texas\Houston
4/5/2008	SR-105 & Lake Conroe	Montgomery	Texas\HoustonSuburbs
4/5/2008	Pines Blvd & 96th	Pembroke Pines	Florida\BrowardCounty
4/5/2008	Gateway Blvd & Congress	Boynton Beach	Florida\PalmBeachCounty
4/4/2008	Springfield-6th & Stevenson	Springfield	Illinois\Springfield
4/4/2008	Hulen & Ledgestone	Fort Worth	Texas\FortWorth
4/3/2008	Alum Rock & White	San Jose	California\SantaClaraCounty
4/1/2008	191 Kenmount Rd	St. Johns	Newfoundland
3/29/2008	Bradley Park & Belfast	Columbus	Georgia\GeorgiaRemoteMarkets
3/28/2008	Montclair & Elder	Birmingham	Alabama\Birmingham
3/28/2008	Arroyo & Fillmore, Pasadena	Pasadena	California\Verdugos
3/28/2008	Armitage & Hoyne - Bucktown	Chicago	Illinois\Chicago
3/28/2008	Arlington & Streeter	Riverside	California\RiversideCounty
3/28/2008	Hwy 83 & Tyler	Harlingen	Texas\SouthTexas
3/27/2008	Northvale, NJ	Northvale	NewJersey\NorthJersey
3/27/2008	Houston Premium Outlets	Cypress	Texas\HoustonSuburbs
3/22/2008	Peachtree Ind & S Old Peachtre	Norcross	Georgia\AtlantaSuburbs
3/22/2008	Walsingham & 137th	Largo	Florida\Tampa
3/22/2008	Cuyahoga Falls, Howe Street	Cuyahoga Falls	Ohio\Akron
3/21/2008	Midland & McNicoll	Toronto	Ontario\Toronto
3/21/2008	Southfield Rd & Dix Hwy	Lincoln Park	Michigan\DetroitSuburbs
3/21/2008	1819 Mt. Rushmore Rd	Rapid City	SouthDakota
3/21/2008	71st & Binford	Indianapolis	Indiana\Indianapolis
3/21/2008	Academy and Tramway-Albuquerqu	Albuquerque	NewMexico\Albuquerque
3/21/2008	Lee Heights Shops	Arlington	Virginia\NorthernVirginia
3/20/2008	Cooper & Hwy 101	Crescent City	California\NorthernCalifornia
3/20/2008	Cedar Hills-96th & 128th	Surrey	BritishColumbia\Vancouver
3/20/2008	158 Locke St S	Hamilton	Ontario\HamiltonRegion
3/20/2008	Grove Point	Jersey City	NewJersey\NorthJersey
3/19/2008	Main & Hwy 99 - Turlock	Turlock	California\ModestoStockton
3/15/2008	NW 79th Ave & NW 25th St	Doral	Florida\Miami
3/15/2008	Sepulveda & 89th	Westchester	California\LosAngelesCounty
3/14/2008	Troy & Governor`s Pkwy	Edwardsville	Illinois\GreaterStLouis
3/14/2008	Queensgate & Duportail	W. Richland	Washington\SoutheasternWashington
3/14/2008	Parham & Staples	Richmond	Virginia\Richmond
3/14/2008	Oakvale Road, Princeton	Princeton	WestVirginia
3/14/2008	Whittier & Passons, Pico River	Pico Rivera	California\SoutheastLosAngeles
3/14/2008	Beverly, 242 Elliott St	Beverly	Massachusetts\BostonSuburbs
3/14/2008	Hwy 121 & Watters	Allen	Texas\DallasSuburbs
3/14/2008	Keizer Station - Keizer	Keizer	Oregon\WestCentralOregon
3/13/2008	85th St & 9th Ave SW	Calgary	Alberta\Calgary
3/13/2008	March & West, Stockton	Stockton	California\ModestoStockton
3/10/2008	Yonkers, Bronx River Road	Yonkers	NewYork\WestchesterCounty
3/10/2008	820 Ocean Beach Hwy-Longview,	Longview	Washington\SouthwesternWashington
3/10/2008	Bear Lake Rd & SR 436	Apopka	Florida\Orlando
3/8/2008	Coral Way and SW 27 Ave	Miami	Florida\Miami
3/8/2008	Harbison Boulevard	Columbia	SouthCarolina\Columbia
3/7/2008	Cornelius Pass & Butler, Hills	Hillsboro	Oregon\Portland
3/7/2008	127th & Antioch	Overland Park	Kansas\KansasCityKansasSuburbs
3/7/2008	Hollywood Way & Airport Access	Burbank	California\SanFernandoValley
3/6/2008	Regent Avenue	Winnipeg	Manitoba
3/6/2008	2509 Prince Michael Dr	Oakville	Ontario\GreaterTorontoArea
3/3/2008	Dysart & McDowell, Goodyear	Goodyear	Arizona\Phoenix
3/3/2008	Fulton & Cottage	Sacramento	California\Sacramento
3/1/2008	Commack-Jericho Tpke & Mayfair	Commack	NewYork\LongIsland
2/29/2008	Mayfair & Center	Wauwatosa	Wisconsin\Milwaukee
2/29/2008	Winchester Rd & Elkhorn	Lexington	Kentucky\Lexington
2/29/2008	37th & Grand	Spokane	Washington\Spokane
